fecha,tipo_cambio,pred_arima,pred_xgb,arima_ci_lower,arima_ci_upper
2025-10-08,7001.34,6980.538789591467,6990.1924,6946.793131087111,7014.284448095824
2025-10-09,7021.13,6983.572111976077,7004.331,6926.259785720936,7040.884438231219
2025-10-10,7057.85,6976.773476051635,7014.8496,6904.898661682406,7048.648290420864
2025-10-13,7043.11,6968.889517225732,7014.7734,6886.666148325434,7051.1128861260295
2025-10-14,7067.32,6965.584896339911,7011.5664,6872.701510004423,7058.4682826754
2025-10-15,7068.98,6962.021310879519,7015.706,6858.652156832932,7065.390464926106
2025-10-16,7104.68,6956.704264566383,7016.6846,6844.029386997303,7069.379142135464
2025-10-17,7077.11,6951.989057517493,7020.7837,6830.556631375595,7073.421483659391
2025-10-20,7055.99,6948.057967777463,7016.7207,6817.970745897728,7078.145189657198
2025-10-21,7091.62,6943.8648915374,7018.815,6805.406157565739,7082.323625509061
2025-10-22,7098.25,6939.530485973769,7021.5366,6793.031391771955,7086.029580175583
2025-10-23,7080.7,6935.476171352064,7021.2983,6781.120604627156,7089.831738076971
2025-10-24,7085.87,6931.566167103893,7019.523,6769.492773917987,7093.6395602898
2025-10-27,7091.79,6927.643475905231,7019.98,6758.015858338253,7097.271093472209
2025-10-28,7111.36,6923.79368509542,7021.1997,6746.755910409479,7100.831459781361
2025-10-29,7091.32,6920.064749550981,7022.1426,6735.727739011318,7104.4017600906445
2025-10-30,7077.99,6916.408129626542,7022.1426,6724.8747882844245,7107.94147096866
2025-10-31,7104.85,6912.810047860813,7020.701,6714.179926986502,7111.440168735124
2025-11-03,7091.42,6909.291370399108,7021.8574,6703.652622060497,7114.930118737719
2025-11-04,7084.39,6905.851461794148,7023.101,6693.282813332293,7118.420110256004
2025-11-05,7087.5,6902.479059116021,7024.6733,6683.054650038765,7121.903468193276
2025-11-06,7077.8,6899.174199895944,7024.6733,6672.96345511166,7125.384944680229
2025-11-07,7090.26,6895.939340291502,7023.492,6663.006316298766,7128.872364284238
2025-11-10,7068.37,6892.771683092822,7021.8574,6653.176325017419,7132.367041168225
2025-11-11,7063.27,6889.668456521315,7023.101,6643.467539390042,7135.869373652589
2025-11-12,7048.31,6886.629178502698,7024.6733,6633.876379344515,7139.381977660881
2025-11-13,7047.69,6883.652960281137,7024.6733,6624.399106465106,7142.906814097168
2025-11-14,7042.33,6880.738056404657,7023.492,6615.031603718073,7146.444509091241
2025-11-17,7050.85,6877.883104392276,7021.8574,6605.770419909752,7149.995788874801
2025-11-18,7048.52,6875.087077399664,7023.101,6596.612597876674,7153.561556922654
2025-11-19,7023.42,6872.348761986399,7024.6733,6587.555201003256,7157.142322969542
2025-11-20,7019.02,6869.666878188563,7024.6733,6578.595428890748,7160.738327486378
2025-11-21,7000.3,6867.040278993572,7023.492,6569.730757736054,7164.3498002510905
2025-11-24,7002.55,6864.4678596709855,7021.8574,6560.958828821466,7167.976890520505
2025-11-25,6992.48,6861.948489080911,7023.101,6552.277379381829,7171.619598779993
2025-11-26,6985.37,6859.481060919543,7024.6733,6543.684277736028,7175.277844103058
2025-11-27,6997.19,6857.064512453377,7024.6733,6535.177523805439,7178.9515011013145
2025-11-28,6982.22,6854.697798214395,7023.492,6526.755214407299,7182.640382021492
2025-12-01,6957.49,6852.379886306402,7033.2676,6518.415532626593,7186.3442399862115
2025-12-02,6883.26,6850.109769640453,7046.8247,6510.156749829138,7190.062789451768
2025-12-03,6870.64,6847.886464631471,7049.941,6501.977216735318,7193.795712527625
2025-12-04,6886.39,6845.70900593866,7050.281,6493.875352714223,7197.542659163098
2025-12-05,6837.96,6843.576447348718,7047.545,6485.84964145123,7201.303253246206
2025-12-08,6827.87,6841.487863181877,7046.0776,6477.89862731689,7205.0770990468645
2025-12-09,6817.78,6839.442346982448,7047.577,6470.020909870089,7208.863784094807
2025-12-10,6757.21,6837.43901052278,7049.94,6462.215139289719,7212.662881755841
2025-12-11,6722.01,6835.4769839221535,7050.281,6454.4800131899265,7216.473954654381
2025-12-12,6608.07,6833.5554154296515,7048.3364,6446.814273437874,7220.296557421429
2025-12-15,6436.05,6831.673470807522,7047.2563,6439.216702961547,7224.130238653497
2025-12-16,6621.92,6829.830332947874,7048.9746,6431.686123071951,7227.974542823797
2025-12-17,6687.49,6828.025201627621,7050.547,6424.221391143838,7231.829012111403
2025-12-18,6707.41,6826.257293148938,7050.547,6416.821398407307,7235.693187890568
2025-12-19,6773.23,6824.525839954406,7049.0835,6409.485067918892,7239.566611989921
2025-12-22,6821.61,6822.830090307555,7047.567,6402.211352765368,7243.448827849742
2025-12-23,6790.83,6821.1693079829165,7048.9746,6394.999234425933,7247.3393815399
2025-12-24,6632.86,6819.542771937318,7050.547,6387.847721253789,7251.2378226208475
2025-12-25,6616.469999999999,6817.949775991554,7050.547,6380.755847089831,7255.143704893277
2025-12-26,6600.08,6816.389628528686,7049.0835,6373.722669999275,7259.056587058098
2025-12-29,6583.69,6814.861652195091,7047.567,6366.747271106911,7262.97603328327
2025-12-30,6575.71,6813.365183604022,7048.9746,6359.828753521349,7266.901613686694
