fecha,tipo_cambio
2022-01-03,6906.86
2022-01-04,6952.73
2022-01-05,6961.22
2022-01-06,6956.22
2022-01-07,6950.65
2022-01-10,6948.37
2022-01-11,6944.84
2022-01-12,6961.5
2022-01-13,6967.86
2022-01-14,6978.85
2022-01-17,6972.0
2022-01-18,6965.99
2022-01-19,6985.83
2022-01-20,7012.0
2022-01-21,7026.25
2022-01-24,7036.97
2022-01-25,7055.71
2022-01-26,7074.35
2022-01-27,7098.8
2022-01-28,7095.34
2022-01-31,7047.6
2022-02-01,7037.83
2022-02-02,7039.71
2022-02-03,6995.06
2022-02-04,6984.02
2022-02-07,6962.58
2022-02-08,6944.19
2022-02-09,6963.27
2022-02-10,6960.14
2022-02-11,6948.65
2022-02-14,6956.59
2022-02-15,6946.95
2022-02-16,6939.68
2022-02-17,6939.02
2022-02-18,6961.41
2022-02-21,6937.56
2022-02-22,6936.62
2022-02-23,6954.32
2022-02-24,7023.46
2022-02-25,6999.82
2022-03-01,6974.39
2022-03-02,6973.72
2022-03-03,6990.87
2022-03-04,6970.09
2022-03-07,6956.49
2022-03-08,6966.76
2022-03-09,6976.86
2022-03-10,6971.35
2022-03-11,6964.47
2022-03-14,6968.9
2022-03-15,6962.03
2022-03-16,6971.26
2022-03-17,6969.54
2022-03-18,6975.19
2022-03-21,6963.49
2022-03-22,6963.66
2022-03-23,6962.7
2022-03-24,6963.91
2022-03-25,6965.64
2022-03-28,6970.98
2022-03-29,6961.03
2022-03-30,6953.82
2022-03-31,6930.05
2022-04-01,6924.75
2022-04-04,6913.28
2022-04-05,6906.87
2022-04-06,6891.93
2022-04-07,6865.78
2022-04-08,6824.18
2022-04-11,6802.04
2022-04-12,6823.89
2022-04-13,6864.24
2022-04-18,6858.74
2022-04-19,6850.27
2022-04-20,6855.17
2022-04-21,6827.46
2022-04-22,6830.04
2022-04-25,6821.4
2022-04-26,6841.66
2022-04-27,6846.81
2022-04-28,6842.25
2022-04-29,6826.7
2022-05-03,6834.55
2022-05-04,6825.28
2022-05-05,6836.8
2022-05-06,6846.57
2022-05-09,6870.82
2022-05-10,6870.27
2022-05-11,6882.22
2022-05-12,6890.18
2022-05-13,6878.99
2022-05-16,6858.24
2022-05-17,6852.01
2022-05-18,6846.49
2022-05-19,6841.86
2022-05-20,6834.76
2022-05-23,6848.22
2022-05-24,6862.37
2022-05-25,6860.05
2022-05-26,6869.35
2022-05-27,6862.49
2022-05-30,6882.4
2022-05-31,6858.59
2022-06-01,6854.53
2022-06-02,6856.39
2022-06-03,6834.75
2022-06-06,6836.17
2022-06-07,6823.48
2022-06-08,6849.72
2022-06-09,6862.58
2022-06-10,6854.08
2022-06-13,6878.84
2022-06-14,6882.24
2022-06-15,6874.16
2022-06-16,6864.14
2022-06-17,6860.11
2022-06-20,6871.78
2022-06-21,6881.3
2022-06-22,6892.44
2022-06-23,6880.68
2022-06-24,6866.77
2022-06-27,6859.3
2022-06-28,6859.78
2022-06-29,6853.82
2022-06-30,6847.76
2022-07-01,6849.1
2022-07-04,6859.09
2022-07-05,6864.05
2022-07-06,6862.77
2022-07-07,6869.42
2022-07-08,6871.51
2022-07-11,6868.22
2022-07-12,6859.82
2022-07-13,6865.54
2022-07-14,6867.71
2022-07-15,6867.0
2022-07-18,6871.8
2022-07-19,6863.81
2022-07-20,6860.62
2022-07-21,6865.75
2022-07-22,6891.69
2022-07-25,6897.69
2022-07-26,6888.19
2022-07-27,6908.65
2022-07-28,6898.32
2022-07-29,6872.98
2022-08-01,6866.71
2022-08-02,6869.41
2022-08-03,6867.63
2022-08-04,6862.59
2022-08-05,6870.88
2022-08-08,6868.98
2022-08-09,6876.55
2022-08-10,6893.59
2022-08-11,6888.16
2022-08-12,6885.87
2022-08-16,6876.44
2022-08-17,6879.01
2022-08-18,6883.87
2022-08-19,6885.53
2022-08-22,6891.97
2022-08-23,6886.33
2022-08-24,6866.49
2022-08-25,6871.67
2022-08-26,6879.94
2022-08-29,6894.01
2022-08-30,6894.49
2022-08-31,6904.1
2022-09-01,6917.57
2022-09-02,6919.64
2022-09-05,6912.68
2022-09-06,6905.93
2022-09-07,6910.06
2022-09-08,6922.66
2022-09-09,6919.38
2022-09-12,6934.75
2022-09-13,6951.92
2022-09-14,6972.25
2022-09-15,6983.66
2022-09-16,6980.26
2022-09-19,6986.86
2022-09-20,6995.39
2022-09-21,7002.97
2022-09-22,7024.74
2022-09-23,7009.28
2022-09-26,7012.33
2022-09-27,7032.96
2022-09-28,7062.45
2022-09-29,7094.15
2022-09-30,7091.39
2022-10-04,7073.65
2022-10-05,7072.89
2022-10-06,7104.47
2022-10-07,7121.53
2022-10-10,7110.24
2022-10-11,7124.61
2022-10-12,7141.92
2022-10-13,7159.42
2022-10-14,7145.87
2022-10-17,7172.51
2022-10-18,7203.04
2022-10-19,7223.31
2022-10-20,7241.09
2022-10-21,7234.87
2022-10-24,7233.01
2022-10-25,7247.25
2022-10-26,7264.19
2022-10-27,7287.04
2022-10-28,7267.92
2022-10-31,7270.68
2022-11-01,7270.73
2022-11-02,7259.03
2022-11-03,7249.64
2022-11-04,7219.5
2022-11-07,7175.59
2022-11-08,7144.16
2022-11-10,7057.17
2022-11-11,7039.74
2022-11-14,7094.64
2022-11-15,7139.72
2022-11-16,7171.84
2022-11-17,7173.57
2022-11-18,7205.65
2022-11-21,7194.23
2022-11-22,7181.05
2022-11-23,7209.57
2022-11-24,7243.22
2022-11-25,7238.43
2022-11-28,7204.25
2022-11-29,7222.98
2022-11-30,7219.09
2022-12-01,7196.4
2022-12-02,7197.5
2022-12-05,7191.62
2022-12-06,7149.72
2022-12-07,7086.59
2022-12-09,7230.39
2022-12-12,7219.78
2022-12-13,7188.71
2022-12-14,7211.17
2022-12-15,7250.11
2022-12-16,7207.41
2022-12-19,7205.45
2022-12-20,7261.18
2022-12-21,7314.25
2022-12-22,7314.39
2022-12-23,7317.77
2022-12-26,7320.69
2022-12-27,7347.97
2022-12-28,7371.91
2022-12-29,7345.93
2023-01-02,7303.81
2023-01-03,7318.6
2023-01-04,7324.97
2023-01-05,7330.09
2023-01-06,7341.28
2023-01-09,7365.79
2023-01-10,7393.76
2023-01-11,7396.43
2023-01-12,7412.59
2023-01-13,7404.88
2023-01-16,7416.97
2023-01-17,7424.16
2023-01-18,7432.79
2023-01-19,7448.37
2023-01-20,7439.13
2023-01-23,7402.65
2023-01-24,7389.58
2023-01-25,7379.92
2023-01-26,7392.58
2023-01-27,7386.75
2023-01-30,7344.76
2023-01-31,7305.94
2023-02-01,7311.41
2023-02-02,7320.64
2023-02-03,7310.88
2023-02-06,7298.29
2023-02-07,7271.89
2023-02-08,7282.95
2023-02-09,7283.27
2023-02-10,7284.71
2023-02-13,7283.2
2023-02-14,7283.24
2023-02-15,7292.37
2023-02-16,7318.71
