fecha,tipo_cambio,retorno_pct
2022-01-03,6906.86,
2022-01-04,6952.73,0.6641223363438753
2022-01-05,6961.22,0.12211030774962328
2022-01-06,6956.22,-0.0718264901841903
2022-01-07,6950.65,-0.0800722231326878
2022-01-10,6948.37,-0.03280268751842952
2022-01-11,6944.84,-0.05080328192079708
2022-01-12,6961.5,0.2398903358464599
2022-01-13,6967.86,0.09135962077138071
2022-01-14,6978.85,0.15772417930326466
2022-01-17,6972.0,-0.09815370727269679
2022-01-18,6965.99,-0.08620195065978109
2022-01-19,6985.83,0.28481235258734916
2022-01-20,7012.0,0.3746154716046668
2022-01-21,7026.25,0.2032230462065021
2022-01-24,7036.97,0.15257071695429225
2022-01-25,7055.71,0.26630780009009314
2022-01-26,7074.35,0.26418319347025765
2022-01-27,7098.8,0.3456147914649321
2022-01-28,7095.34,-0.04874063221953495
2022-01-31,7047.6,-0.6728359740336587
2022-02-01,7037.83,-0.13862875305068467
2022-02-02,7039.71,0.026712779365234418
2022-02-03,6995.06,-0.634259081695121
2022-02-04,6984.02,-0.15782566554111144
2022-02-07,6962.58,-0.3069865206571598
2022-02-08,6944.19,-0.2641262290702606
2022-02-09,6963.27,0.2747620672821638
2022-02-10,6960.14,-0.044950145549438325
2022-02-11,6948.65,-0.16508288626378986
2022-02-14,6956.59,0.11426680002590839
2022-02-15,6946.95,-0.1385736402461646
2022-02-16,6939.68,-0.10465024219260544
2022-02-17,6939.02,-0.009510524980982371
2022-02-18,6961.41,0.3226680424613271
2022-02-21,6937.56,-0.3426030071494113
2022-02-22,6936.62,-0.013549432365278502
2022-02-23,6954.32,0.25516750232821295
2022-02-24,7023.46,0.9942021649852251
2022-02-25,6999.82,-0.3365862409695608
2022-02-28,6987.105,-0.1816475280792984
2022-03-01,6974.39,-0.18197808677555827
2022-03-02,6973.72,-0.009606574911924515
2022-03-03,6990.87,0.24592326620511695
2022-03-04,6970.09,-0.29724483504913746
2022-03-07,6956.49,-0.19511943174335133
2022-03-08,6966.76,0.1476319235706569
2022-03-09,6976.86,0.14497413431779904
2022-03-10,6971.35,-0.07897535567574776
2022-03-11,6964.47,-0.09868963687090782
2022-03-14,6968.9,0.0636085732295344
2022-03-15,6962.03,-0.09858083772187332
2022-03-16,6971.26,0.13257627444869247
2022-03-17,6969.54,-0.02467272774219209
2022-03-18,6975.19,0.08106704316208635
2022-03-21,6963.49,-0.16773736629396296
2022-03-22,6963.66,0.0024413045757176732
2022-03-23,6962.7,-0.013785853990577746
2022-03-24,6963.91,0.017378315883198603
2022-03-25,6965.64,0.02484236585482691
2022-03-28,6970.98,0.07666201526348448
2022-03-29,6961.03,-0.1427345939882141
2022-03-30,6953.82,-0.10357662587289207
2022-03-31,6930.05,-0.3418265068696025
2022-04-01,6924.75,-0.07647852468597449
2022-04-04,6913.28,-0.16563774865518965
2022-04-05,6906.87,-0.0927200981299725
2022-04-06,6891.93,-0.21630637321969903
2022-04-07,6865.78,-0.3794292745283312
2022-04-08,6824.18,-0.6059034807407104
2022-04-11,6802.04,-0.32443458408190073
2022-04-12,6823.89,0.32122716126339323
2022-04-13,6864.24,0.591304959487915
2022-04-14,6862.406666666667,-0.026708467846880968
2022-04-15,6860.573333333333,-0.026715603175186953
2022-04-18,6858.74,-0.026722742316964698
2022-04-19,6850.27,-0.123492069972031
2022-04-20,6855.17,0.07153002728359503
2022-04-21,6827.46,-0.40422046426273894
2022-04-22,6830.04,0.03778857730400986
2022-04-25,6821.4,-0.12649999121527866
2022-04-26,6841.66,0.2970064796082861
2022-04-27,6846.81,0.07527412937795575
2022-04-28,6842.25,-0.06660035841509204
2022-04-29,6826.7,-0.22726442325258223
2022-05-02,6830.625,0.05749483645098863
2022-05-03,6834.55,0.05746179888370673
2022-05-04,6825.28,-0.13563438704816688
2022-05-05,6836.8,0.16878428430775472
2022-05-06,6846.57,0.14290311256728305
2022-05-09,6870.82,0.35419195305095297
2022-05-10,6870.27,-0.0080048669590993
2022-05-11,6882.22,0.17393785105970228
2022-05-12,6890.18,0.11566035378118844
2022-05-13,6878.99,-0.16240504602202943
2022-05-16,6858.24,-0.301643119120687
2022-05-17,6852.01,-0.09083963232549008
